Regime,RAI,IDEO,HDR,PBR,Tagline
George Washington,18.0,1.0,4.0,3.5,The Gentleman-General Who Declined the Crown
John Adams,30.0,1.5,3.0,4.0,Centralizer of fragile federal authority
Thomas Jefferson,28.0,-1.5,3.5,3.5,Libertarian vision with enslaved foundations
James Madison,26.0,0.0,3.0,3.5,Scholar of the Constitution under wartime stress
James Monroe,25.0,0.5,2.5,3.0,Quiet expansionist with a doctrine
John Quincy Adams,27.0,0.5,2.0,3.5,Technocrat of national improvement
Andrew Jackson,62.0,5.5,6.0,6.5,Populist strongman with a trail of tears
Abraham Lincoln,59.0,-3.0,6.5,4.5,Crisis autocrat in defense of union and abolition
William H. Taft,33.0,1.0,2.0,3.5,Legalist institutionalist with restrained hand
Dwight D. Eisenhower,38.0,2.5,2.5,4.0,Quiet empire manager with military poise
John F. Kennedy,36.0,-1.5,3.5,4.5,Liberal Cold War charisma with covert fire
Richard Nixon,60.0,2.0,4.0,7.0,Law-and-order authoritarianism with paranoia core
Ronald Reagan,48.0,3.5,3.5,6.0,Smiling deregulator with a carceral shadow
George H. W. Bush,38.0,1.5,2.0,4.5,Cold realism under a velvet glove
Bill Clinton,41.0,1.0,2.5,5.5,Centrist neoliberalism with mass incarceration edge
George W. Bush,55.0,4.0,6.0,6.5,Post-9/11 executive expansion with evangelical overtone
Barack Obama,44.0,-0.5,2.5,5.5,Technocratic optimism with drone-era contradictions
Donald Trump (2016–2020),64.0,6.5,4.0,7.5,Authoritarian populism in chaotic packaging
Joe Biden,43.0,1.5,1.5,6.5,Technocratic liberalism under pressure
Donald Trump (2024 projected),81.0,7.5,5.5,8.5,Vengeance with a Legal Pad
FDR (1933–1945),52.0,-4.0,5.0,3.0,Crisis-centralizer with constitutional brakes
Modi (India),68.0,7.0,6.5,7.5,Democracy with a Saffron Spine
Peter Thiel (hypothetical),91.0,7.5,6.5,9.0,Technocratic monarchy with a god complex
AOC (hypothetical),58.0,-7.5,2.5,6.5,Moral absolutism with a climate budget
Steve Bannon (hypothetical),87.0,9.0,6.5,9.0,Traditionalist insurrectional governance
Lenin (1917–1924),85.0,-9.0,7.5,7.0,Ideological steel forged into party rule
Caligula,78.0,6.5,6.5,8.0,Divine chaos with a knife
Genghis Khan,96.4,5.0,10.0,2.0,Statistical annihilation with postal service
Henry VII (Tudor),67.0,3.0,4.5,6.0,Accountant-king with velvet tyranny
Macron (2017–2025),40.0,1.0,1.5,5.5,Technocrat under street revolt
Taliban (2021–2025),91.0,8.0,9.0,2.0,Clerical militarism with gender apartheid
ISIL (2014–2019),99.1,9.0,10.0,0.5,Theofascist genocidal terror state
FDR (1933–1945),52.0,-4.0,5.0,3.0,Crisis-centralizer with constitutional brakes
Airstrip One (1984),100.0,-1.0,10.0,0.0,"Total surveillance, total mind control"
Panem (fictional),92.7,8.0,10.0,4.0,Spectacle-based oligarchic dystopia
Stalin (1937),89.1,-9.0,9.0,2.0,Totalitarian terror forged in ideology
Franco (1939–75),85.5,9.0,7.5,3.0,Clerical fascist authoritarian stability
Putin (2023),81.8,5.0,7.0,6.5,Autocratic kleptocracy with revanchist bite
Orbán (2023),64.5,6.5,3.5,5.0,Elected illiberalism in the EU's backyard
Erdogan (2023),70.0,6.0,5.0,5.0,Islamist-nationalist soft authoritarianism
Donald Tusk (Poland),42.0,1.5,2.0,4.0,Liberal democratic centrist against authoritarian tide
Margaret Thatcher,49.0,4.0,3.0,5.5,Iron neoliberal with protest crackdowns
Claudia Sheinbaum (projected),44.0,-2.0,2.5,4.5,Technocratic progressive with populist roots
Justin Trudeau,39.0,-1.0,2.0,5.0,Cosmopolitan liberal with state paternalism
Ivan the Terrible,94.0,7.0,9.0,3.0,Tsarist absolutism with sadistic pageantry
Kim Jong Un,100.0,10.0,10.0,0.0,Hereditary totalitarian monarchy with nuclear threat
Kim Jong Il,99.0,10.0,10.0,0.5,Theatrical dynastic oppression with famine
Fidel Castro,82.0,-8.5,7.0,6.5,Revolutionary autocrat with educational pride
Saddam Hussein,93.0,9.0,9.5,2.0,Brutal Ba'athist dictator with regional terror
Benito Mussolini,91.0,9.5,8.5,2.5,Corporate fascist and military narcissist
Mao Zedong,96.0,-9.0,10.0,2.0,Cultic communist with industrial-scale disaster
Xi Jinping,87.0,-2.0,8.0,4.0,Technocratic Leninism with digital authoritarian edge
Volodymyr Zelenskyy,41.0,0.0,2.5,4.0,Democratic wartime leader under existential pressure
Josip Broz Tito,68.0,-2.5,6.0,3.5,Benevolent strongman balancing East and West
Slobodan Milošević,84.0,8.5,9.0,3.0,Nationalist demagogue turned war criminal
Adolf Hitler (1939),100.0,10.0,10.0,0.5,Fascist race-state and apex genocidal regime
Bernie Sanders (hypothetical),52.0,-6.5,2.5,5.5,Democratic socialist reformism with state activism
Pol Pot,91.0,-10.0,10.0,1.0,Utopian agrarian genocide and elite extermination
Idi Amin,87.0,8.5,9.0,2.0,Militarized kleptocracy with ethnic terror
Jean-Bédel Bokassa,88.0,9.0,9.0,2.0,Self-declared emperor and cannibalistic kleptocrat
Nelson Mandela (1994–1999),28.0,-2.5,2.0,2.5,Reconciliatory post-apartheid democrat with global moral stature
Lech Wałęsa (1990–1995),35.0,-1.0,2.5,3.0,Solidarity activist turned democratic president
Angela Merkel (2005–2021),34.0,1.0,1.5,3.5,Steady centrist stabilizer in the EU era
Vaclav Havel (1989–2003),26.0,-2.0,1.0,2.0,Poet-president who brought liberalism to post-Soviet Czechia
Jacinda Ardern (2017–2023),32.0,-1.0,1.5,3.0,Empathic progressive with crisis-era trust
